Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
"Miami, FL",G0MR2K2PG,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MR2KOGY,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MR2KOV7,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MR2KOY1,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MRZECEK,1/16/2024,y,Partial,Outdoor
"Miami, FL",G0MRZECZO,1/16/2024,Y,N,Outdoor
"Miami, FL",G0MRZECZT,1/16/2024,Y,N,Outdoor
"Miami, VI",G0MRZEDCT,1/15/2024,N,N,outdoor
IND,G0NA1WVGD,1/22/2024,Y,N,Outdoor
IND,G0NA1WVK6,1/22/2024,Y,N,Outdoor
IND,G0NA1WVPO,1/22/2024,Y,N,Outdoor
IND,G0NA1WVTT,1/22/2024,Y,N,Outdoor
IND,G0NA1WW36,1/22/2024,Y,N,Outdoor
IND,G0NA1WW60,1/22/2024,Y,N,Outdoor
IND,G0NA1WW9T,1/22/2024,Y,N,Outdoor
IND,G0NA1WWYE,1/22/2024,Y,N,Outdoor
IND,G0NA1XM3D,4/16/2024,Y,N,Outdoor
IND,G0NA1XM66,4/16/2024,Y,N,Outdoor
IND,G0NA1XMVU,4/16/2024,Y,N,Outdoor
IND,G0NA1XMYM,4/16/2024,Y,N,Outdoor
IND,G0NA1XN3C,4/16/2024,Y,N,Outdoor
IND,G0NA1XN65,4/16/2024,Y,N,Outdoor
IND,G0NA1XN9Y,4/16/2024,Y,N,Outdoor
IND,G0NA1XNN6,4/16/2024,Y,N,Outdoor
IND,G0NA1YJVU,7/22/2024,Y,N,Outdoor
IND,G0NA1YJYM,7/22/2024,Y,N,Outdoor
IND,G0NA1YK2E,7/22/2024,Y,N,Outdoor
IND,G0NA1YK57,7/22/2024,Y,N,Outdoor
IND,G0NA1YKEP,7/22/2024,Y,N,Outdoor
IND,G0NA1YKHF,7/22/2024,Y,N,Outdoor
IND,G0NA1YM64,7/22/2024,Y,N,Outdoor
IND,G0NA1YM9X,7/22/2024,Y,N,Outdoor
"San Diego, CA",G0ND25T3M,1/30/2024,Y,N,Outdoor
"San Diego, CA",G0ND25T6E,1/30/2024,Y,N,Outdoor
"San Diego, CA",G0ND25TD1,1/30/2024,Y,N,Outdoor
"San Diego, CA",G0ND25TGT,1/30/2024,Y,N,Outdoor
"San Diego, CA",G0ND25TKK,1/30/2024,Y,N,Outdoor
"San Diego, CA",G0ND25TPD,1/30/2024,Y,N,Outdoor
"San Diego, CA",G0ND25TT6,1/30/2024,Y,N,Outdoor
"San Diego, CA",G0ND25TV2,1/30/2024,Y,N,Outdoor
"San Diego, CA",G0ND26X91,4/23/2024,Y,N,Outdoor
"San Diego, CA",G0ND26XDU,4/23/2024,Y,N,Outdoor
"San Diego, CA",G0ND26XGK,4/23/2024,Y,N,Outdoor
"San Diego, CA",G0ND26XKD,4/23/2024,Y,N,Outdoor
"San Diego, CA",G0ND26XWT,4/23/2024,Y,N,Outdoor
"San Diego, CA",G0ND26Y2F,4/23/2024,Y,N,Outdoor
"San Diego, CA",G0ND26YOK,4/23/2024,Y,N,Outdoor
"San Diego, CA",G0ND26YXP,4/23/2024,Y,N,Outdoor
San Diego,G0ND28219,7/16/2024,Y,N,Outdoor
San Diego,G0ND28235,7/16/2024,Y,N,Outdoor
San Diego,G0ND2826Y,7/16/2024,Y,N,Outdoor
San Diego,G0ND282AP,7/16/2024,Y,N,Outdoor
San Diego,G0ND282EG,7/16/2024,Y,N,Outdoor
San Diego,G0ND282H8,7/16/2024,Y,N,Outdoor
San Diego,G0ND282NO,7/16/2024,Y,N,Outdoor
San Diego,G0ND282QV,7/16/2024,Y,N,Outdoor
"Miami, Fl",G0NDOVIEW,1/15/2024,N,N,Outdoor
Pavonia North NJ,G0NJ2595M,12/19/2023,Y,N,Indoor
Hoboken North NJ,G0NJ2597G,12/19/2023,Y,N,Indoor
Secaucus North NJ,G0NJ259C7,12/19/2023,y,N,Indoor
Pennsauken South NJ,G0NJ259JT,12/19/2023,Y,N,Outdoor
Somerdale South NJ,G0NJ259W4,12/19/2023,Y,N,Outdoor
East Orange North NJ,G0NJ25A9A,12/19/2023,Y,N,Outdoor
East Rutherford North NJ,G0NJ25AD4,12/19/2023,Y,N,Outdoor
Secaucus North NJ,G0NJ25C6G,12/18/2023,N,N,Indoor
Pavonia North NJ,G0NJ25C8C,12/18/2023,N,N,Indoor
Passaic North NJ,G0NJ25CD3,12/18/2023,N,N,Outdoor
Newark North NJ,G0NJ25CE1,12/18/2023,N,N,Outdoor
Deptford South NJ,G0NJ25CFY,12/18/2023,N,N,Outdoor
Mount Laurel South NJ,G0NJ25CT8,12/18/2023,N,N,Outdoor
Cherry Hill South NJ,G0NJ25CW2,12/18/2023,N,N,Outdoor
